Id,Partition,CodeItem,CodeInventory,Description1,Description2,Qty
,Public,114AF03MT10,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT11,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT12,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT20,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT21,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT22,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT30,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT40,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT50,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,114AF03MT70,1220104142,DEEP GROOVE BALL BRG 6313,1ROW,2
,Public,115BC19MT10,1220104594,BRG BALL DEEP GROOVE 6312 ZZ,CYLINDRICAL BORE,1
,Public,115BC19MT10,1220105092,ROLLER BRG NU 317 ECP,CYLINDRICAL NU,1
,Public,164AF03MT10,1220104057,DEEP GROOVE BALL BRG 6212/C3,1ROW,1
,Public,164AF03MT10,1220105050,ROLLER BRG NU 212ECG/C3,CYLINDRICAL NU,1
,Public,200FA08MT10,1220104095,DEEP GROOVE BALL BRG6207 2RSC3,SHIELD1ROW,1
,Public,200FA08MT10,1220104420,DEEP GROOVE BALL BRG6208 2Z/C3,SEALED 1ROW,1
,Public,202BC03MT10,1220104194,DEEP GROOVE BALLBRG 6315-2Z/C3,SHIELD1ROW,1
,Public,202BC03MT10,1220104071,DEEP GROOVE BALL BRG 6220,1ROW,1
,Public,202BC04MR10,1220104262,BRG BALL DEEP GROOVE 6209 2Z,1ROW,1
,Public,202BC04MR10,1220104454,BRG BALL DEEP GROOVE 6309 ZZ,,1
,Public,202BC06MT10,1220110263,BRG ROLLER CYL NU 316 ECJC3,1ROW,1
,Public,202BC06MT10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,1
,Public,202BC09MT10,1220104332,BRG BALL DEEP GROOVE 6218,SINGLE ROW,2
,Public,202BC09MR10,1220104332,BRG BALL DEEP GROOVE 6218,SINGLE ROW,2
,Public,202BC09MT10,1400101320,"MOTOR 110KW,380VD,1490RPM","TIKK,FRAME 280L,FORM FCKW",0
,Public,202BC09MR10,1400101320,"MOTOR 110KW,380VD,1490RPM","TIKK,FRAME 280L,FORM FCKW",0
,Public,202BC11MT10,1220110263,BRG ROLLER CYL NU 316 ECJC3,1ROW,1
,Public,202BC11MT10,1220104527,BRG BALL DEEP GROOVE 6316 C3,SINGLE ROW,1
,Public,202DC15MT10,1220104631,BRG BALL DEEP GROOVE 6212 2RS,SKF,1
,Public,202DC15MT10,1220104594,BRG BALL DEEP GROOVE 6312 ZZ,CYLINDRICAL BORE,1
,Public,203BC09MT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,203BC09MT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,208AS09MT10,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,208AS09MT20,1220104096,DEEP GROOVE BALL BRG6207 2Z/C3,SHIELD1ROW,1
,Public,208AS09MT10,1220104597,BRG BALL DEEP GROOVE 6208 2RSC3,SINGLE ROW,1
,Public,208AS09MT20,1220104597,BRG BALL DEEP GROOVE 6208 2RSC3,SINGLE ROW,1
,Public,208DC15MR10,1400101075,MOTOR 5.5KW 220D/380V 2920RPM,"TYPE:M2BA132S2-A , B5",1
,Public,208DC15MT10,1400101075,MOTOR 5.5KW 220D/380V 2920RPM,"TYPE:M2BA132S2-A , B5",1
,Public,216DR27HT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27HT20,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MT10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MT20,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MT30,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MT40,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MT50,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MT60,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MR10,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MR20,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27MR30,1220104099,DEEP GROOVE BALL BRG 6208 ZZ,SHIELD1ROW,1
,Public,216DR27HT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,216DR27HT20,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,216DR27MT10,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
,Public,216DR27MT20,1220104422,DEEP GROOVE BALL BRG 6308 ZZ,SHIELD 1ROW CM/5KU16,1
